Obs,experiment,year,treatment,plot,subplot_id,id,sowing_doy,flowering_time
1,DR14,2014,wet,15,15001,RIL_161,159,40
2,DR14,2014,wet,15,15002,RIL_035,159,40
3,DR14,2014,wet,15,15003,RIL_058,159,40
4,DR14,2014,wet,15,15004,RIL_190,159,29
5,DR14,2014,wet,15,15005,B100,159,40
6,DR14,2014,wet,15,15006,RIL_194,159,33
7,DR14,2014,wet,15,15007,RIL_207,159,30
8,DR14,2014,wet,15,15008,RIL_183,159,40
9,DR14,2014,wet,15,15009,RIL_170,159,41
10,DR14,2014,wet,15,15010,RIL_101,159,40
11,DR14,2014,wet,15,15011,RIL_034,159,30
12,DR14,2014,wet,15,15012,RIL_020,159,40
13,DR14,2014,wet,15,15013,RIL_059,159,40
14,DR14,2014,wet,15,15014,B100,159,40
15,DR14,2014,wet,15,15015,RIL_010,159,40
16,DR14,2014,wet,15,15016,RIL_134,159,40
17,DR14,2014,wet,15,15017,RIL_104,159,41
18,DR14,2014,wet,15,15018,RIL_092,159,32
19,DR14,2014,wet,15,15019,B100,159,40
20,DR14,2014,wet,15,15020,RIL_098,159,30
21,DR14,2014,wet,15,15021,RIL_008,159,40
22,DR14,2014,wet,15,15022,B100,159,40
23,DR14,2014,wet,15,15023,RIL_191,159,32
24,DR14,2014,wet,15,15024,RIL_174,159,33
25,DR14,2014,wet,15,15025,RIL_086,159,40
26,DR14,2014,wet,15,15026,RIL_082,159,40
27,DR14,2014,wet,15,15027,RIL_208,159,28
28,DR14,2014,wet,15,15028,RIL_140,159,40
29,DR14,2014,wet,15,15029,RIL_211,159,40
30,DR14,2014,wet,15,15030,RIL_197,159,40
31,DR14,2014,wet,15,15031,RIL_002,159,31
32,DR14,2014,wet,15,15032,RIL_016,159,40
33,DR14,2014,wet,15,15033,RIL_215,159,43
34,DR14,2014,wet,15,15034,RIL_052,159,32
35,DR14,2014,wet,15,15035,RIL_114,159,40
36,DR14,2014,wet,15,15036,B100,159,40
37,DR14,2014,wet,15,15037,RIL_118,159,49
38,DR14,2014,wet,15,15038,RIL_172,159,30
39,DR14,2014,wet,15,15039,RIL_019,159,29
40,DR14,2014,wet,15,15040,RIL_070,159,29
41,DR14,2014,wet,15,15041,RIL_045,159,33
42,DR14,2014,wet,15,15042,RIL_105,159,30
43,DR14,2014,wet,15,15043,RIL_144,159,30
44,DR14,2014,wet,15,15044,A10,159,24
45,DR14,2014,wet,15,15045,RIL_219,159,28
46,DR14,2014,wet,15,15046,RIL_150,159,33
47,DR14,2014,wet,15,15047,RIL_152,159,28
48,DR14,2014,wet,15,15048,RIL_217,159,26
49,DR14,2014,wet,15,15049,RIL_178,159,30
50,DR14,2014,wet,15,15050,RIL_096,159,32
51,DR14,2014,wet,15,15051,RIL_205,159,26
52,DR14,2014,wet,15,15052,RIL_136,159,29
53,DR14,2014,wet,15,15053,RIL_189,159,29
54,DR14,2014,wet,15,15054,RIL_054,159,40
55,DR14,2014,wet,15,15055,A10,159,24
56,DR14,2014,wet,15,15056,RIL_110,159,28
57,DR14,2014,wet,15,15057,RIL_164,159,24
58,DR14,2014,wet,15,15058,RIL_214,159,40
59,DR14,2014,wet,15,15059,RIL_050,159,32
60,DR14,2014,wet,15,15060,A10,159,24
61,DR14,2014,wet,15,15061,A10,159,24
62,DR14,2014,wet,15,15062,RIL_216,159,24
63,DR14,2014,wet,15,15063,RIL_075,159,24
64,DR14,2014,wet,15,15064,RIL_063,159,40
65,DR14,2014,wet,15,15065,RIL_085,159,24
66,DR14,2014,wet,15,15066,RIL_057,159,40
67,DR14,2014,wet,15,15067,RIL_046,159,29
68,DR14,2014,wet,15,15068,RIL_090,159,40
69,DR14,2014,wet,15,15069,RIL_111,159,33
70,DR14,2014,wet,15,15070,A10,159,24
71,DR14,2014,wet,15,15071,RIL_162,159,24
72,DR14,2014,wet,15,15072,RIL_097,159,30
73,DR14,2014,wet,15,15073,RIL_088,159,40
74,DR14,2014,wet,15,15074,RIL_033,159,33
75,DR14,2014,wet,16,16001,RIL_051,159,29
76,DR14,2014,wet,16,16002,B100,159,40
77,DR14,2014,wet,16,16003,RIL_122,159,31
78,DR14,2014,wet,16,16004,RIL_069,159,33
79,DR14,2014,wet,16,16005,RIL_218,159,40
80,DR14,2014,wet,16,16006,RIL_012,159,40
81,DR14,2014,wet,16,16007,B100,159,40
82,DR14,2014,wet,16,16008,RIL_147,159,40
83,DR14,2014,wet,16,16009,RIL_182,159,40
84,DR14,2014,wet,16,16010,RIL_109,159,40
85,DR14,2014,wet,16,16011,RIL_186,159,40
86,DR14,2014,wet,16,16012,RIL_036,159,40
87,DR14,2014,wet,16,16013,RIL_100,159,43
88,DR14,2014,wet,16,16014,RIL_064,159,40
89,DR14,2014,wet,16,16015,RIL_156,159,40
90,DR14,2014,wet,16,16016,RIL_179,159,28
91,DR14,2014,wet,16,16017,B100,159,40
92,DR14,2014,wet,16,16018,RIL_184,159,30
93,DR14,2014,wet,16,16019,RIL_201,159,40
94,DR14,2014,wet,16,16020,RIL_146,159,40
95,DR14,2014,wet,16,16021,RIL_181,159,43
96,DR14,2014,wet,16,16022,RIL_053,159,32
97,DR14,2014,wet,16,16023,B100,159,40
98,DR14,2014,wet,16,16024,RIL_195,159,40
99,DR14,2014,wet,16,16025,RIL_042,159,40
100,DR14,2014,wet,16,16026,RIL_133,159,29
101,DR14,2014,wet,16,16027,RIL_029,159,40
102,DR14,2014,wet,16,16028,RIL_044,159,31
103,DR14,2014,wet,16,16029,B100,159,40
104,DR14,2014,wet,16,16030,RIL_062,159,40
105,DR14,2014,wet,16,16031,RIL_079,159,31
106,DR14,2014,wet,16,16032,RIL_055,159,26
107,DR14,2014,wet,16,16033,RIL_117,159,32
108,DR14,2014,wet,16,16034,RIL_185,159,33
109,DR14,2014,wet,16,16035,RIL_202,159,40
110,DR14,2014,wet,16,16036,RIL_137,159,40
111,DR14,2014,wet,16,16037,RIL_081,159,40
112,DR14,2014,wet,16,16038,RIL_043,159,40
113,DR14,2014,wet,16,16039,RIL_151,159,33
114,DR14,2014,wet,16,16040,RIL_073,159,40
115,DR14,2014,wet,16,16041,RIL_030,159,40
116,DR14,2014,wet,16,16042,RIL_119,159,40
117,DR14,2014,wet,16,16043,RIL_145,159,28
118,DR14,2014,wet,16,16044,RIL_022,159,40
119,DR14,2014,wet,16,16045,RIL_180,159,29
120,DR14,2014,wet,16,16046,RIL_094,159,43
121,DR14,2014,wet,16,16047,RIL_041,159,28
122,DR14,2014,wet,16,16048,RIL_209,159,28
123,DR14,2014,wet,16,16049,B100,159,40
124,DR14,2014,wet,16,16050,RIL_009,159,31
125,DR14,2014,wet,16,16051,RIL_160,159,40
126,DR14,2014,wet,16,16052,RIL_001,159,33
127,DR14,2014,wet,16,16053,RIL_175,159,30
128,DR14,2014,wet,16,16054,B100,159,40
129,DR14,2014,wet,16,16055,RIL_095,159,33
130,DR14,2014,wet,16,16056,RIL_084,159,33
131,DR14,2014,wet,16,16057,A10,159,24
132,DR14,2014,wet,16,16058,RIL_131,159,40
133,DR14,2014,wet,16,16059,RIL_167,159,29
134,DR14,2014,wet,16,16060,RIL_149,159,28
135,DR14,2014,wet,16,16061,RIL_157,159,31
136,DR14,2014,wet,16,16062,A10,159,24
137,DR14,2014,wet,16,16063,RIL_163,159,40
138,DR14,2014,wet,16,16064,RIL_188,159,28
139,DR14,2014,wet,16,16065,RIL_139,159,38
140,DR14,2014,wet,16,16066,RIL_039,159,24
141,DR14,2014,wet,16,16067,RIL_173,159,28
142,DR14,2014,wet,16,16068,RIL_115,159,24
143,DR14,2014,wet,16,16069,RIL_113,159,28
144,DR14,2014,wet,16,16070,RIL_015,159,24
145,DR14,2014,wet,16,16071,RIL_076,159,29
146,DR14,2014,wet,16,16072,RIL_120,159,32
147,DR14,2014,wet,16,16073,A10,159,24
148,DR14,2014,wet,16,16074,RIL_014,159,28
149,DR14,2014,wet,16,16075,RIL_176,159,32
150,DR14,2014,wet,16,16076,RIL_026,159,28
151,DR14,2014,wet,16,16077,RIL_153,159,38
152,DR14,2014,wet,16,16078,A10,159,24
153,DR14,2014,wet,16,16079,RIL_124,159,28
154,DR14,2014,wet,16,16080,RIL_102,159,30
155,DR14,2014,wet,16,16081,RIL_112,159,28
156,DR14,2014,wet,16,16082,RIL_091,159,26
157,DR14,2014,wet,16,16083,RIL_067,159,28
158,DR14,2014,wet,16,16084,RIL_158,159,38
159,DR14,2014,wet,16,16085,A10,159,23
160,DR14,2014,wet,16,16086,RIL_148,159,38
161,DR14,2014,wet,16,16087,RIL_049,159,28
162,DR14,2014,wet,16,16088,RIL_165,159,33
163,DR14,2014,wet,16,16089,RIL_142,159,29
164,DR14,2014,wet,16,16090,RIL_013,159,30
165,DR14,2014,wet,16,16091,RIL_037,159,28
166,DR14,2014,wet,16,16092,RIL_143,159,28
167,DR14,2014,wet,16,16093,RIL_048,159,38
168,DR14,2014,wet,16,16094,RIL_171,159,24
169,DR14,2014,wet,16,16095,A10,159,25
170,DR14,2014,wet,16,16096,RIL_125,159,38
171,DR14,2014,wet,16,16097,RIL_138,159,32
172,DR14,2014,wet,16,16098,RIL_121,159,30
173,DR14,2014,wet,16,16099,RIL_068,159,38
174,DR14,2014,wet,16,16100,RIL_078,159,30
175,DR14,2014,wet,16,16101,RIL_168,159,33
176,DR14,2014,wet,16,16102,RIL_141,159,29
177,DR14,2014,wet,16,16103,A10,159,24
178,DR14,2014,wet,16,16104,RIL_005,159,33
