1,S2_2504271,2,11.41378601,3.62607936065638,1.40655345621127,4.62363948153834,3.13873146748521,wue_day_17_BP14,dry,BP,14,raw
2,S2_44784129,2,96.94547802,8.19060695496018,5.94281103415142,8.97572426600727,2.96429800069981,wue_day_17_BP14,dry,BP,14,raw
3,S2_46701398,2,113.0877388,5.69505305079622,0.017567721459443,0.496930962966074,3.0184685715032,wue_day_17_BP14,dry,BP,14,raw
4,S3_7671407,3,48.57267674,4.61338074693538,0.159578496299453,1.48145684199954,2.98572729840954,wue_day_17_BP14,dry,BP,14,raw
5,S4_28902914,4,52.90088541,4.51406553661797,0.441523065837281,2.46283013771973,2.98404989212162,wue_day_17_BP14,dry,BP,14,raw
6,S5_33184214,5,79.95790853,4.99293311333389,0.239997733622054,-2.24323754798991,3.68654903157187,wue_day_17_BP14,dry,BP,14,raw
7,S5_38502687,5,92.83337609,6.09721090182178,4.05767441244601,-9.81065758999401,3.92109928567329,wue_day_17_BP14,dry,BP,14,raw
8,S5_43706919,5,109.5147878,6.37024400899589,5.89071787001429,-10.2105260324867,3.3869775996965,wue_day_17_BP14,dry,BP,14,raw
9,S6_31888552,6,65.16886519,4.39880042785535,2.676473589694,6.119302905902,3.01140237931554,wue_day_17_BP14,dry,BP,14,raw
10,S7_17158322,7,34.01418318,3.56252413612697,0.769089020952606,3.79481092358119,3.48377545685732,wue_day_17_BP14,dry,BP,14,raw
11,S7_19532160,7,51.17962841,5.47326359433205,4.5485032688163,-9.11325289458397,3.44023005474488,wue_day_17_BP14,dry,BP,14,raw
12,S7_32133319,7,99.94477983,6.74061254844934,0.40522356065933,4.90751292607408,6.20672390542093,wue_day_17_BP14,dry,BP,14,raw
13,S9_47635177,9,127.545358,4.20116555210015,3.30790443661384,6.74953345239852,2.98775922433124,wue_day_17_BP14,dry,BP,14,raw
14,S9_6724364,9,34.93391023,9.95006005891094,3.67449403407056,8.57687910490926,3.60229134189372,wue_day_17_BP14,dry,BP,14,raw
1,S2_2504271,2,11.41378601,3.62607936065638,0.0023523980726381,0.218833922485569,2.70530473624708,wue_day_18_BP14,dry,BP,14,raw
2,S2_44784129,2,96.94547802,8.19060695496018,5.07078984768658,10.8469359654127,2.88819309676117,wue_day_18_BP14,dry,BP,14,raw
3,S2_46701398,2,113.0877388,5.69505305079622,0.536335916411261,3.51372599848129,2.87677838483757,wue_day_18_BP14,dry,BP,14,raw
4,S3_7671407,3,48.57267674,4.61338074693538,0.0264197730381426,0.682611970660198,2.51806139144672,wue_day_18_BP14,dry,BP,14,raw
5,S4_28902914,4,52.90088541,4.51406553661797,1.15750482971625,4.6686498636844,2.60187754899389,wue_day_18_BP14,dry,BP,14,raw
6,S5_33184214,5,79.95790853,4.99293311333389,0.0288981872031329,0.86387384492195,3.04699667710867,wue_day_18_BP14,dry,BP,14,raw
7,S5_38502687,5,92.83337609,6.09721090182178,4.97590821147603,-12.2856097247164,3.30230734237459,wue_day_18_BP14,dry,BP,14,raw
8,S5_43706919,5,109.5147878,6.37024400899589,1.22588738749785,-5.87400354813856,3.18101613131774,wue_day_18_BP14,dry,BP,14,raw
9,S6_31888552,6,65.16886519,4.39880042785535,0.874975263465466,4.00828619269677,2.56931759190611,wue_day_18_BP14,dry,BP,14,raw
10,S7_17158322,7,34.01418318,3.56252413612697,0.251636444323488,-2.31877440671063,2.77158807240174,wue_day_18_BP14,dry,BP,14,raw
11,S7_19532160,7,51.17962841,5.47326359433205,1.14455900085898,-5.06188323066592,2.83693891941207,wue_day_18_BP14,dry,BP,14,raw
12,S7_32133319,7,99.94477983,6.74061254844934,0.402846779005472,-3.90718171902963,3.69105586066262,wue_day_18_BP14,dry,BP,14,raw
13,S9_47635177,9,127.545358,4.20116555210015,3.81848920837712,8.27478847413268,2.53903140384341,wue_day_18_BP14,dry,BP,14,raw
14,S9_6724364,9,34.93391023,9.95006005891094,10.6364504567122,14.6946160617119,2.70157381340137,wue_day_18_BP14,dry,BP,14,raw
1,S2_2504271,2,11.41378601,3.62607936065638,0.0079569692112571,-0.386097320711241,2.59739298520972,wue_day_19_BP14,dry,BP,14,raw
2,S2_44784129,2,96.94547802,8.19060695496018,4.43011049556168,9.72613427827268,2.77298612202388,wue_day_19_BP14,dry,BP,14,raw
3,S2_46701398,2,113.0877388,5.69505305079622,1.08726078345971,4.79932350354755,2.76202673091303,wue_day_19_BP14,dry,BP,14,raw
4,S3_7671407,3,48.57267674,4.61338074693538,0.0352163511357375,0.75604082645311,2.41761857983669,wue_day_19_BP14,dry,BP,14,raw
5,S4_28902914,4,52.90088541,4.51406553661797,1.44696662806059,5.00752201624191,2.49809139930999,wue_day_19_BP14,dry,BP,14,raw
6,S5_33184214,5,79.95790853,4.99293311333389,0.0413580690591431,0.991422712353884,2.92545519513577,wue_day_19_BP14,dry,BP,14,raw
7,S5_38502687,5,92.83337609,6.09721090182178,4.55649563645635,-11.2781982843794,3.17058178739201,wue_day_19_BP14,dry,BP,14,raw
8,S5_43706919,5,109.5147878,6.37024400899589,0.924601724611229,-4.89384237698752,3.05412875474635,wue_day_19_BP14,dry,BP,14,raw
9,S6_31888552,6,65.16886519,4.39880042785535,0.972402514419379,4.05366246216086,2.46683022455011,wue_day_19_BP14,dry,BP,14,raw
10,S7_17158322,7,34.01418318,3.56252413612697,0.201136337164435,-1.98875236188295,2.66103234903358,wue_day_19_BP14,dry,BP,14,raw
